"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1288927,"December 31, 2018",Colorado,Longmont,"2211 Pratt St",1,0,N/A
1291156,"December 31, 2018",Texas,Mexia,"500 block of W Commerce St",0,0,N/A
1290183,"December 31, 2018","West Virginia",Charleston,N/A,0,0,N/A
1289200,"December 31, 2018",Indiana,"Fort Wayne","9200 block of Springbreeze Ct",0,1,N/A
1288974,"December 31, 2018","North Carolina",Burlington,"700 block of Elizabeth St",0,0,N/A
1290506,"December 31, 2018",Texas,Abilene,"2400 block of Glendale Dr",0,0,N/A
1305833,"December 30, 2018",Pennsylvania,Scranton,N/A,0,0,N/A
1289176,"December 30, 2018",Oklahoma,"Oklahoma City","E Madison St",0,1,N/A
1288416,"December 30, 2018",Ohio,Miamisburg,"119 N 1st St",1,1,N/A
1292840,"December 30, 2018","North Carolina",Winterville,"3900 block of Sterling Pointe Dr",0,0,N/A
1288608,"December 30, 2018",Maryland,Frostburg,"S Grant St",0,0,N/A
1287719,"December 29, 2018",Massachusetts,Quincy,"Crown Dr",0,1,N/A
1288686,"December 29, 2018",Tennessee,"Goodlettsville (Millersville)","1100 block of Slaters Creek Rd",0,0,N/A
1287717,"December 29, 2018",Mississippi,Golden,"Alice Hall Rd",2,0,N/A
1292976,"December 29, 2018",Oklahoma,"Oklahoma City","SE 35th St",0,0,N/A
1287030,"December 28, 2018",Arizona,Glendale,"4900 block of W Thunderbird Rd",1,0,N/A
1287678,"December 28, 2018","North Carolina","Winston Salem (Winston-salem)","2700 block of Country Club Rd",0,1,N/A
1287424,"December 28, 2018",Virginia,Lynchburg,"1400 block of Ashbourne Dr",0,0,N/A
1286888,"December 28, 2018",Ohio,Cincinnati,"Glenway Ave",0,0,N/A
1287948,"December 28, 2018",Maryland,Reisterstown,"4300 block of Butler Rd",0,1,N/A
1289464,"December 28, 2018",Arizona,Phoenix,"43rd Ave and Indian School Rd",1,3,N/A
1287778,"December 27, 2018","New Jersey",Trenton,"100 block of Walnut Ave",0,0,N/A
1286785,"December 27, 2018",Florida,Palmetto,"600 block of Riverside Dr",0,1,N/A
1286095,"December 27, 2018",Virginia,Roanoke,"1500 block of Gordon Ave SE",0,0,N/A
1286626,"December 27, 2018",Maryland,Frostburg,"10400 block of Piney Mountain Rd",1,0,N/A
1288562,"December 27, 2018",Texas,Sweetwater,"800 block of Lubbock St",0,1,N/A
1287108,"December 27, 2018",Texas,Houston,"5400 Beverly Hill",0,1,N/A
1285119,"December 26, 2018",Illinois,Chicago,"5700 block of W 64th Pl",1,1,N/A
1285384,"December 26, 2018",Alabama,"Bessemer (Brighton)","Parker Springs St and Short Perry Ave",1,0,N/A
1286217,"December 26, 2018",Maryland,Manchester,"3000 block of Maiden Ln",0,0,N/A
1320154,"December 25, 2018",Ohio,Dayton,"4996 Woodman Park Dr",0,0,N/A
1284796,"December 25, 2018","South Carolina",Greenville,"17 Appaloosa Dr",0,2,N/A
1353305,"December 25, 2018",Ohio,Canton,"1700 block of 29th St NW",0,0,N/A
1383215,"December 25, 2018",Washington,Aberdeen,"400 block of N Washington St",0,1,N/A
1285145,"December 25, 2018","New Jersey",Clifton,"200 block of Ackerman Ave",0,0,N/A
1286591,"December 25, 2018",Texas,Killeen,"2900 block of Taft St",0,0,N/A
1285683,"December 25, 2018",Connecticut,Milford,"W Main St",0,0,N/A
1284086,"December 24, 2018",Ohio,Toledo,"2400 block of N Detroit Ave",0,0,N/A
1284567,"December 24, 2018","North Carolina",Dudley,"107 Connies Walk",0,3,N/A
1284402,"December 24, 2018",Michigan,Detroit,"900 block of Webb St",0,0,N/A
1284191,"December 23, 2018",Pennsylvania,Selinsgrove,"100 block of S High St",0,0,N/A
1283175,"December 23, 2018",Pennsylvania,Philadelphia,"9400 block of Torresdale Ave",0,2,N/A
1283169,"December 23, 2018","North Carolina",Burlington,"2200 block of Pine Knoll Terrace",0,1,N/A
1283160,"December 23, 2018",Texas,"San Antonio","15503 Vance Jackson Rd",0,0,N/A
1284034,"December 23, 2018","New Jersey",Glassboro,"Cornell Rd",0,0,N/A
1285409,"December 23, 2018",Iowa,"Council Bluffs","1030 5th Ave",0,1,N/A
1284341,"December 23, 2018",Michigan,Detroit,"7600 block of Stahelin Ave",1,0,N/A
1284332,"December 23, 2018",California,Alhambra,"1200 block of N Hidalgo Ave",0,0,N/A
1287771,"December 22, 2018","New Jersey","Monroe Township (Monroe)","N Beecham Rd",0,0,N/A
1282535,"December 22, 2018",Florida,Sarasota,"2900 block of Mayflower St",0,1,N/A
1284784,"December 22, 2018","New Jersey","Monroe Township","N Beecham Rd",0,0,N/A
1282499,"December 22, 2018",Florida,"Fernandina Beach","2800 Manatee Ave",0,0,N/A
1285039,"December 22, 2018",Florida,"Lake City","SW Ziegler Terrace",0,2,N/A
1282772,"December 21, 2018",California,Garberville,"Sesame Loop",0,0,N/A
1291142,"December 21, 2018","North Carolina",Salisbury,"E Cemetery St",0,0,N/A
1305608,"December 21, 2018",Indiana,Gary,"800 block of E 45th Ave",0,0,N/A
1286042,"December 21, 2018","New York",Poughkeepsie,"Hudson Pointe Dr",0,0,N/A
1316956,"December 21, 2018",Louisiana,Gonzales,"Bishop Woods Rd",0,0,N/A
1281737,"December 21, 2018","South Carolina",Greenville,"Grove Rd",0,1,N/A
1282105,"December 21, 2018",Massachusetts,Boston,"198 Blue Hill Ave",1,0,N/A
1282856,"December 21, 2018",Texas,Dallas,"2900 block of Etta Dr",0,1,N/A
1282261,"December 21, 2018",Mississippi,Sallis,"Attala Rd 4985",0,1,N/A
1286648,"December 21, 2018",Florida,Okeechobee,"NW 9th Ave",0,0,N/A
1281850,"December 20, 2018","North Carolina",Lexington,"123 Upton St",1,0,N/A
1282570,"December 20, 2018","New York",Buffalo,"Walden Ave",0,0,N/A
1281123,"December 20, 2018",Pennsylvania,Pittsburgh,"Fremont St",0,0,N/A
1281118,"December 20, 2018",Kentucky,Danville,"25 Holladay Dr",0,0,N/A
1281799,"December 20, 2018",Oklahoma,Tulsa,"N Peoria Ave and E 26th Pl",0,0,N/A
1281022,"December 20, 2018",Oklahoma,Tulsa,"E 36th St N and N Hartford Ave",0,0,N/A
1281712,"December 20, 2018","South Carolina",Aiken,"Cherokee St",1,0,N/A
1291298,"December 20, 2018",Texas,Killeen,"4500 block of Westcliff Dr",1,0,N/A
1281456,"December 19, 2018",Florida,"Land O Lakes","8000 block of Belcher Ln",1,0,N/A
1383146,"December 19, 2018",Texas,"Fort Worth","8504 Cove Meadow Lane",0,1,N/A
1280778,"December 19, 2018",Nebraska,Omaha,"40th St",0,0,N/A
1281767,"December 19, 2018","North Carolina",Charlotte,"Deveron Dr",0,0,N/A
1282319,"December 19, 2018","New York",Kingston,"189 North St",0,0,N/A
1281694,"December 19, 2018",Missouri,"Jefferson City","5600 block of Scherr Dr",0,0,N/A
1280388,"December 18, 2018","New Jersey","Ridgefield Park","4th St",0,1,N/A
1280074,"December 18, 2018",Maryland,Baltimore,"3500 block of Ash St",0,1,N/A
1281298,"December 18, 2018",California,Concord,"4600 block of Phoenix St",1,0,N/A
1279662,"December 18, 2018",Georgia,Atlanta,"4300 block of Chamblee Tucker Rd",0,2,N/A
1279120,"December 17, 2018",Montana,Missoula,N/A,0,0,N/A
1287693,"December 17, 2018",Texas,"Corpus Christi","5700 block of Wooldridge Rd",0,0,N/A
1279063,"December 17, 2018",Colorado,"Colorado Springs","4900 block of Hawk Meadow Dr",0,0,N/A
1279850,"December 17, 2018","North Carolina",Leicester,"Green Vale Dr",0,0,N/A
1299164,"December 17, 2018","North Carolina",Raleigh,"Slippery Elm Dr",0,0,N/A
1278870,"December 17, 2018",Georgia,Atlanta,"Ira St",1,1,N/A
1278849,"December 17, 2018",Michigan,Detroit,"14200 block of Prevost St",1,0,N/A
1280271,"December 17, 2018",Florida,"Fort Pierce","100 block of Gotham Dr",0,0,N/A
1330923,"December 17, 2018",Maryland,Hagerstown,"50 block of W Baltimore St",0,0,N/A
1282880,"December 17, 2018",Missouri,Florissant,"Shackelford Rd and New Halls Ferry Rd",0,0,N/A
1279928,"December 17, 2018",Pennsylvania,Sharon,"700 block of Wengler Ave",0,0,N/A
1280025,"December 17, 2018",Texas,Lubbock,"2700 block of E 2nd St",0,3,N/A
1282222,"December 16, 2018",Louisiana,"Lake Charles",US-90,2,0,N/A
1278840,"December 16, 2018","Rhode Island",Providence,"205 Laurel Hill Ave",0,1,N/A
1279499,"December 16, 2018",Pennsylvania,Philadelphia,"5600 block of N Uber St",0,0,N/A
1289409,"December 15, 2018","New Hampshire",Rochester,"Lafayette St",0,0,N/A
1278352,"December 15, 2018",Louisiana,Raceland,"100 block of Market St",2,0,N/A
1279116,"December 15, 2018",California,Stockton,N/A,0,0,N/A
1277553,"December 15, 2018",Arizona,Phoenix,"10402 N Black Canyon Hwy",1,0,N/A
1278964,"December 15, 2018",Minnesota,Winona,"850 block of W 5th St",0,1,N/A
1279741,"December 15, 2018",Indiana,Lafayette,"2567 Kingsway Dr",0,0,N/A
1278074,"December 15, 2018",Arizona,Phoenix,"15800 block of S 32nd Pl",0,0,N/A
1281822,"December 15, 2018","North Carolina","Red Banks","Jefferson Rd",0,0,N/A
1277999,"December 15, 2018",Florida,Orlando,"8000 block of Leeland Archer Blvd",0,1,N/A
1277820,"December 15, 2018",Wisconsin,Madison,"600 Block S Shore St",0,0,N/A
1277790,"December 15, 2018",Michigan,Detroit,"3800 block of 28th St",0,1,N/A
1278182,"December 15, 2018",Texas,Houston,"4620 Fisk St",1,0,N/A
1277389,"December 15, 2018",Missouri,"Saint Louis","2100 block of Cherry Ave",2,0,N/A
1278834,"December 14, 2018","New York","Shelter Island",N/A,0,0,N/A
1278604,"December 14, 2018","New Jersey",Phillipsburg,"273 Mercer St",0,2,N/A
1276779,"December 14, 2018",Florida,Hialeah,"100 block of E 60th St",0,0,N/A
1276462,"December 13, 2018",Missouri,Springfield,"1131 Battlefield Rd",0,1,N/A
1284577,"December 13, 2018","North Carolina","Rocky Mount","Bethlehem Rd",0,0,N/A
1276792,"December 13, 2018",Florida,Zephyrhills,"FL 54 and Golf Links Blvd",0,0,N/A
1276580,"December 13, 2018",Michigan,Jackson,"1000 block of Blair Park Dr",0,2,N/A
1277679,"December 13, 2018",Louisiana,Slidell,"951 Gause Blvd",0,0,N/A
1277750,"December 13, 2018",Pennsylvania,Philadelphia,"1500 block of Carlisle St",0,0,N/A
1276367,"December 12, 2018","New Mexico",Albuquerque,"Kiowa Ave",1,0,N/A
1275663,"December 12, 2018",Mississippi,"De Kalb","100 block of John C Stennis Ave",0,2,N/A
1276087,"December 12, 2018",Arkansas,"Little Rock","800 block of S Rodney Parham Rd",0,1,N/A
1277619,"December 12, 2018","Rhode Island",Providence,"107 Harriet St",0,1,N/A
1383171,"December 11, 2018",Texas,"San Antonio","800 block of Jennings  Ave",1,0,N/A
1274689,"December 11, 2018",Virginia,"Newport News","3600 block of Marshall Ave",0,1,N/A
1381298,"December 11, 2018",Ohio,Sunbury,"Carters Corner Rd",0,0,N/A
1275799,"December 11, 2018",Illinois,Decatur,"S Dipper Ln",0,0,N/A
1280712,"December 11, 2018",Mississippi,Shelby,"Douglas St",0,1,N/A
1275436,"December 10, 2018","South Carolina",Graniteville,"1600 Kalmia Apartments Ln",0,0,N/A
1273610,"December 9, 2018","North Carolina",Laurinburg,"17200 block of Lee's Mill Rd",1,3,N/A
1275650,"December 9, 2018",Louisiana,Sterlington,"Harvey Ave and Gilford Ave",0,1,N/A
1301336,"December 9, 2018","Rhode Island",Woonsocket,"289 Cottage St",0,1,N/A
1273742,"December 9, 2018","West Virginia",Huntington,"938 27th St",0,1,N/A
1380823,"December 9, 2018",Georgia,McRae-Helena,"Bowen St",1,1,N/A
1274711,"December 9, 2018","North Carolina",Stanfield,"Yow Rd",0,0,N/A
1274403,"December 9, 2018",Colorado,"Colorado Springs","255 Lionstone Dr",0,0,N/A
1276316,"December 8, 2018",Missouri,Seneca,"Shawnee St",0,1,N/A
1272501,"December 8, 2018",Louisiana,Crowley,"1800 block of May St",0,0,N/A
1273679,"December 8, 2018",Virginia,Gordonsville,"18000 block of Blue Ridge Turnpike",0,0,N/A
1274647,"December 8, 2018","South Carolina",Conway,"Beverly Rd",0,0,N/A
1276443,"December 8, 2018",Alabama,Montgomery,"4700 block of Oak Tree Rd",0,0,N/A
1274655,"December 8, 2018","South Carolina",Orangeburg,"Travers St SE",0,0,N/A
1274033,"December 7, 2018",Illinois,Patoka,"20400 Meridian Rd",0,0,N/A
1271773,"December 7, 2018",Oklahoma,Tulsa,"4837 S Darlington Ave",0,0,N/A
1273342,"December 7, 2018",Florida,"West Palm Beach","Beech Rd",0,1,N/A
1317654,"December 7, 2018",Wisconsin,"Eau Claire","Richard Dr",0,1,N/A
1274489,"December 7, 2018",Ohio,Cleveland,"14000 block of Gramatan Ave",0,1,N/A
1272521,"December 7, 2018","North Dakota",Minot,"700 block of 8th Ave NE",0,0,N/A
1272143,"December 7, 2018","New York",Yonkers,"82 Buckingham Rd",1,2,N/A
1381336,"December 6, 2018",Ohio,Youngstown,"West Judson Avenue",0,0,N/A
1271603,"December 6, 2018",Tennessee,Goodlettsville,"115 Old Brick Church Pike",0,2,N/A
1270722,"December 6, 2018",Virginia,Norfolk,"1400 block of Goff St",0,2,N/A
1272331,"December 6, 2018",Tennessee,Memphis,"3655 Southern Ave",0,0,N/A
1272232,"December 6, 2018",Ohio,"West Portsmouth","3700 block of Mackletree Road",1,0,N/A
1272603,"December 6, 2018",Illinois,Charleston,"2403 8th St",0,0,N/A
1270604,"December 6, 2018",Oklahoma,Tulsa,"4414 S Garnett Rd",0,1,N/A
1271187,"December 6, 2018",Washington,Seattle,"8800 block of Delridge Way SW",0,1,N/A
1271049,"December 6, 2018",Missouri,"Saint Louis","4400 block of Pershing Ave",0,0,N/A
1270823,"December 5, 2018",Pennsylvania,Allentown,"300 block of Chew St",0,0,N/A
1270654,"December 5, 2018",Indiana,Indianapolis,"3700 block of Graceland Ave",0,1,N/A
1307834,"December 5, 2018",Florida,"Pensacola (Bellview)","Patricia Dr",0,1,N/A
1270455,"December 5, 2018",Illinois,Chicago,"8000 block of S Dobson Ave",0,1,N/A
1269405,"December 4, 2018","New York",Bronx,"47 W 175th St",0,0,N/A
1269866,"December 4, 2018",Virginia,"Newport News","600 block of North Ave",0,0,N/A
1269150,"December 4, 2018","South Carolina",Pickens,"Meece Mill Rd",1,0,N/A
1270417,"December 4, 2018",Michigan,Chesaning,"826 S Front St",0,3,N/A
1271100,"December 4, 2018",Maine,Caribou,"Lombard Rd",0,0,N/A
1268921,"December 3, 2018",Alabama,Athens,"200 block of Cloverfield Dr",0,0,N/A
1269498,"December 3, 2018",Oklahoma,Tulsa,"N Mingo Rd and E Admiral Pl",0,1,N/A
1269350,"December 3, 2018",Virginia,Blackstone,"667 Poplar Lawn Rd",1,0,N/A
1275205,"December 3, 2018",Indiana,Hammond,"500 block of Pointe Dr",0,1,N/A
1268894,"December 3, 2018",Louisiana,Opelousas,"219 Depot St",0,1,N/A
1268780,"December 3, 2018",Massachusetts,Chicopee,"18 Plante Cir",0,1,N/A
1269631,"December 3, 2018","Rhode Island",Providence,"125 Carolina Ave",0,1,N/A
1268480,"December 2, 2018",Michigan,Detroit,"9000 block of Mark Twain",1,0,N/A
1267954,"December 2, 2018",Arizona,Chandler,"Elliott Rd and Arizona Ave",0,1,N/A
1358273,"December 2, 2018",Ohio,Lima,"1500 block of Bradfield Dr",0,0,N/A
1268995,"December 2, 2018",Michigan,Detroit,N/A,1,0,N/A
1268277,"December 2, 2018",Florida,Miami,"NE 207th St and 13th Ave",0,0,N/A
1267227,"December 1, 2018",Louisiana,"New Orleans","400 block of Lakeshore Dr",0,1,N/A
1268168,"December 1, 2018",California,Cloverdale,"400 block of North Foothill Blvd",0,1,N/A
1268806,"December 1, 2018",Tennessee,Chattanooga,"4000 block of Calderwood Cir",0,0,N/A
1269923,"December 1, 2018",Georgia,Athens,"200 block of Hilltop Rd",0,0,N/A
1267207,"December 1, 2018","South Carolina",Gaffney,"121 Concord Acres Dr",1,1,N/A
1267769,"December 1, 2018",Texas,Houston,"5251 Gasmer Dr",1,0,N/A
1266978,"November 30, 2018",Indiana,"Fort Wayne","1924 Sunnymede Dr",0,1,N/A
1266742,"November 30, 2018",Oklahoma,Tulsa,"S 129th E Ave and E 31st St",0,1,N/A
1267885,"November 30, 2018",Tennessee,Quebeck,"Quebeck Rd",1,1,N/A
1267656,"November 29, 2018",Oregon,Ontario,"SE Ninth Ave and SE Fourth St",1,0,N/A
1266814,"November 29, 2018","South Carolina",Parker,"Monaview Cir",0,1,N/A
1267167,"November 29, 2018",Florida,"Tampa (Town N Country)","6000 block of W Clifton St",0,1,N/A
1265709,"November 29, 2018",Pennsylvania,Philadelphia,"2700 block of Brown St",0,0,N/A
1266263,"November 29, 2018",Texas,Cypress,"10811 Gates Randall Ct",1,0,N/A
1266280,"November 28, 2018",California,"San Diego","Charlene Ave",0,1,N/A
1266251,"November 28, 2018",Arkansas,"Little Rock","Nandina Cir",0,0,N/A
1266285,"November 28, 2018",California,Snelling,"7000 block of Merced Falls Rd",0,3,N/A
1265388,"November 28, 2018",Indiana,Evansville,N/A,0,0,N/A
1265985,"November 28, 2018",Virginia,Petersburg,"1000 block of Elliott Ave",1,0,N/A
1265886,"November 28, 2018",Tennessee,Antioch,"1600 block of Hickory Club Dr",1,2,N/A
1267818,"November 28, 2018",Maryland,Dundalk,"Eastdale Rd and 54th St",0,0,N/A
1267775,"November 28, 2018",Illinois,Peoria,"100 block of N Village Green Ct",0,1,N/A
1265728,"November 28, 2018",Texas,Houston,"Adrian St and Berkley St",1,0,N/A
1264744,"November 27, 2018",Oklahoma,Tulsa,"4900 block of S Columbia Ave",1,0,N/A
1264434,"November 27, 2018",Kentucky,Covington,"300 block of W 7th St",1,0,N/A
1265479,"November 27, 2018",Tennessee,Kingsport,"Dorothy St",0,2,N/A
1266559,"November 27, 2018",Colorado,"Grand Junction",N/A,0,0,N/A
1314112,"November 27, 2018",Florida,Tallahassee,"Nugget Ln",0,0,N/A
1266342,"November 27, 2018",Texas,"Wichita Falls","1900 block of Gilbert Ave",0,1,N/A
1265101,"November 26, 2018","New York","Central Square","3247 Fulton Ave",0,1,N/A
1264227,"November 26, 2018","South Carolina",Anderson,"900 block of King St",1,0,N/A
1263674,"November 26, 2018",California,Fresno,"N Valentine Ave and W Olive Ave",0,1,N/A
1263294,"November 25, 2018",Missouri,"Saint Louis","800 block of Dickson St",0,0,N/A
1263556,"November 25, 2018",Arkansas,"Hot Springs National Park (Hot Springs)","400 block of Alcorn St",0,1,N/A
1263072,"November 25, 2018",Florida,Windermere,"13000 Beckman Dr",0,0,N/A
1262884,"November 25, 2018",Michigan,"Ypsilanti (Superior Township)","8000 block of MacArthur Blvd",0,0,N/A
1262710,"November 25, 2018",Mississippi,"Moss Point","4618 Frederick St",1,1,N/A
1266201,"November 24, 2018",Florida,Tampa,"2409 W State St",1,0,N/A
1263695,"November 24, 2018","New York",Rome,"806 W Liberty St",0,1,N/A
1262747,"November 24, 2018",Mississippi,Jackson,"1600 block of Central St",0,1,N/A
1269230,"November 24, 2018","South Carolina","Orangeburg (county)",N/A,0,0,N/A
1263264,"November 24, 2018",Kansas,Leavenworth,"604 Chestnut St",1,0,N/A
1264056,"November 24, 2018","New Jersey",Millville,"600 block of S 2nd St",0,0,N/A
1263270,"November 24, 2018",Missouri,Columbia,"5700 block of Limoges Dr",1,0,N/A
1292981,"November 24, 2018",Oklahoma,"Oklahoma City","SE 35th St",0,0,N/A
1262952,"November 23, 2018",Georgia,Rome,"1501 Maple Ave",1,0,N/A
1261301,"November 23, 2018",Oklahoma,"Oklahoma City","1900 block of NW 18th St",0,1,N/A
1277431,"November 23, 2018",Colorado,Pueblo,"800 block of Frontier St",0,0,N/A
1261881,"November 23, 2018",Illinois,Chicago,"4600 block of N Milwaukee Ave",0,1,N/A
1276377,"November 23, 2018",Missouri,"Kansas City",N/A,0,0,N/A
1322887,"November 23, 2018",Virginia,"Colonial Heights","17000 block of Lansmill Dr",0,0,N/A
1260914,"November 22, 2018","New Hampshire",Amherst,"19 Baboosic Lake Rd",1,0,N/A
1260920,"November 22, 2018",Texas,Lewisville,"100 block of E Round Grove Rd",2,0,N/A
1260903,"November 22, 2018",Virginia,Hopewell,"400 block of Davisville St",0,0,N/A
1261597,"November 22, 2018",Ohio,Columbus,"1500 block of Vendome Dr S",1,0,N/A
1261606,"November 22, 2018",Texas,"El Paso","8400 block of Signal Peak Place",2,1,N/A
1261290,"November 22, 2018",Alaska,Fairbanks,"Southern Ave",0,2,N/A
1260807,"November 22, 2018",Illinois,"Richton Park","4900 block of Bayview Dr",0,0,N/A
1260928,"November 22, 2018",Oklahoma,"Broken Arrow","1300 block of N 31st St",0,1,N/A
1261351,"November 22, 2018",Indiana,"Fort Wayne","6100 block of Downingtown Dr",3,2,N/A
1261796,"November 22, 2018",Washington,Seattle,"7115 44th Ave S",1,0,N/A
1261044,"November 22, 2018",Connecticut,Bridgeport,"45 Monroe St",0,0,N/A
1260869,"November 21, 2018","North Carolina",Matthews,"7400 block of Leahurst Ct",0,1,N/A
1262855,"November 21, 2018",California,Honeydew,"Wilder Ridge Rd",0,0,N/A
1266123,"November 21, 2018","New Mexico","Las Cruces","1300 block of Wolf Tr",0,0,N/A
1260744,"November 21, 2018",Arkansas,"West Helena","Memphis St",0,1,N/A
1260475,"November 21, 2018",Kentucky,Lexington,"Birch Dr",0,0,N/A
1261839,"November 21, 2018",California,Ukiah,"2400 block of Mill Creek Rd",0,1,N/A
1266418,"November 21, 2018","District of Columbia",Washington,"700 block of Princeton Pl NW",0,0,N/A
1262252,"November 20, 2018",Illinois,Decatur,"400 block of N 33rd St",0,0,N/A
